Station,Local_MAPE_%,Transfer_MAPE_%,Transfer_Loss_%,Geo_Distance_km,Catch22_Distance,DTW_Distance,Target_Lat,Target_Lon
10 Rio de janeiro,12.246,12.522,0.276,7.122909391719529,6.361965826268034,83.186868001065,-22.837643302555122,-43.30915157048124
meier -22.9017_-43.2797,12.66,12.845,0.185,10.487734499057964,6.355968315085709,158.15517164510968,-22.90173,-43.2797093
maracanã -22.9122_-43.2312,13.014,12.842,-0.172,11.116774876305767,6.575879812314468,1353.676280657176,-22.912161949999998,-43.23118606002972
botafogo -22.9454_-43.1808,12.944,13.192,0.248,16.124178645355755,6.367786799168416,235.95063431743023,-22.945403650000003,-43.180818018208925
ipanema -22.9873_-43.2019,12.939,13.291,0.352,19.87863659406043,6.386151663844519,293.4985593089684,-22.9873023,-43.2018710463854
copacabana -22.9864_-43.1872,13.236,13.311,0.075,20.173646435495897,6.379248359753241,299.1837624500067,-22.98642585,-43.18716059569638
jacarepagua -22.9532_-43.3716,12.839,12.655,-0.185,20.27552957289675,6.3339634565648035,293.32019630920513,-22.9531726,-43.3715825
barra da tijuca -23.0114_-43.3218,13.445,13.2,-0.245,23.425115955496565,6.341030202259047,346.7192134525024,-23.0114386,-43.3217887
bangu -22.8753_-43.4649,12.492,12.457,-0.035,23.57292536890876,6.360714348095254,283.2416464700368,-22.8753053,-43.4648805
marambaia -23.0626_-43.8556,12.801,12.649,-0.152,68.40733430334632,6.453178650456843,725.399448877693,-23.0626014,-43.8555722
9 vicosa,11.955,11.64,-0.315,232.0200160609701,6.3149815215668195,1381.1521785439202,-20.7538586,-42.8815888
8 gov valadares,10.366,11.161,0.795,458.75467809974026,6.71036645194517,1481.0392985629599,-18.8698882,-41.9459383
7 jequitai,10.975,12.376,1.4,662.3357795992301,6.644409064593875,1572.3251385859774,-16.945401951684016,-44.33608276215471
6 manga,9.188,10.989,1.801,899.2423455830708,6.6887988469880675,1618.72390910863,-14.7528035,-43.9417044
5 santa maria da vitoria,7.744,12.198,4.454,1052.6227515262149,6.564639415994372,1621.542737192458,-13.3901477,-44.2013167
4 caripare,10.915,13.634,2.72,1276.0294856429387,6.225298382703589,1622.7016704577222,-11.543937861855426,-45.51839429990687
3 Redencao do Gurgueia,10.098,11.165,1.066,1482.8684057188864,6.305102620089771,1562.7475068094395,-9.52435295,-44.41434693094406
2 nova brasilia urucui,10.93,12.774,1.844,1709.3140540099516,6.286034869284784,1550.8018222501128,-7.482138661877258,-44.41686459661807
1 sao domingos,11.948,14.342,2.394,1920.1204296655492,6.553614630332193,1504.2277353455356,-5.5799743,-44.3841617
0 gera maranhao,13.238,16.466,3.228,2144.8180779424056,6.515714379057185,1570.9671392482553,-3.56607,-44.55707
