Station,Local_MAPE_%,Transfer_MAPE_%,Transfer_Loss_%
0 gera maranhao,13.238,16.466,3.228
1 sao domingos,11.948,14.342,2.394
10 Rio de janeiro,12.246,12.522,0.276
2 nova brasilia urucui,10.93,12.774,1.844
3 Redencao do Gurgueia,10.098,11.165,1.066
4 caripare,10.915,13.634,2.72
5 santa maria da vitoria,7.744,12.198,4.454
6 manga,9.188,10.989,1.801
7 jequitai,10.975,12.376,1.4
8 gov valadares,10.366,11.161,0.795
9 vicosa,11.955,11.64,-0.315
bangu -22.8753_-43.4649,12.492,12.457,-0.035
barra da tijuca -23.0114_-43.3218,13.445,13.2,-0.245
botafogo -22.9454_-43.1808,12.944,13.192,0.248
copacabana -22.9864_-43.1872,13.236,13.311,0.075
ipanema -22.9873_-43.2019,12.939,13.291,0.352
jacarepagua -22.9532_-43.3716,12.839,12.655,-0.185
maracanã -22.9122_-43.2312,13.014,12.842,-0.172
marambaia -23.0626_-43.8556,12.801,12.649,-0.152
meier -22.9017_-43.2797,12.66,12.845,0.185
