Station,Local_MAPE_%,Transfer_MAPE_%,Transfer_Loss_%
0 gera maranhao,13.078,15.795,2.717
1 sao domingos,12.935,13.537,0.602
10 Rio de janeiro,12.272,12.427,0.156
2 nova brasilia urucui,10.769,12.295,1.526
3 Redencao do Gurgueia,9.784,11.16,1.376
4 caripare,10.217,13.811,3.594
5 santa maria da vitoria,7.598,12.513,4.915
6 manga,8.854,11.164,2.31
7 jequitai,10.791,12.352,1.562
8 gov valadares,10.676,10.894,0.218
9 vicosa,12.193,11.363,-0.829
bangu -22.8753_-43.4649,12.761,12.483,-0.278
barra da tijuca -23.0114_-43.3218,13.497,13.013,-0.484
botafogo -22.9454_-43.1808,12.873,12.962,0.089
copacabana -22.9864_-43.1872,13.017,13.077,0.06
ipanema -22.9873_-43.2019,12.811,13.074,0.263
jacarepagua -22.9532_-43.3716,13.182,12.762,-0.42
maracanã -22.9122_-43.2312,12.931,12.819,-0.112
marambaia -23.0626_-43.8556,12.768,12.459,-0.309
meier -22.9017_-43.2797,12.642,12.676,0.034
